CityName,PinCode,Name of Location ,State Name,Region,COD,Provider,zone_id
Ariyalur,612903,Kumbakonam,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613001,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613002,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613003,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613004,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613005,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613006,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613007,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613008,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613009,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613201,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613202,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,613204,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,613701,Tiruvarur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,613702,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,613704,Tiruvarur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614001,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Mannargudi,614010,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614015,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614017,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614018,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614019,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614020,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614101,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614102,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614201,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614204,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614205,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614206,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614207,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614210,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614211,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614601,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614602,Pattukottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614625,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614701,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614704,Pattukottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruvarur,614717,Mannargudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614723,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Thanjavur,614903,Thanjavur,Tamil Nadu,SOUTH,N,ARAMEX,1503
Tiruchirappalli,620001,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620002,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620003,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620004,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620005,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620006,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620007,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620008,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620009,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620010,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620011,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620012,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620013,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620014,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620015,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620016,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620017,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620018,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620019,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620020,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620021,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620022,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620023,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620024,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620025,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Tiruchirappalli,620026,Tiruchirapally,Tamil Nadu,South,Y,ARAMEX,1503
Pudukkottai,622001,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Pudukkottai,622002,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Pudukkottai,622003,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Pudukkottai,622004,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Pudukkottai,622005,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Pudukkottai,622302,Pattukottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
