Pincode,Location,Taluk,District,,State,,
854318,Araria,Taluk,Araria,District,BIHAR,State,
852112,Kumarkhand,Taluk,Madhepura,District,BIHAR,State,
841226,Siwan,Taluk,Siwan,District,BIHAR,State,
842001,Mushahari,Taluk,Muzaffarpur,District,BIHAR,State,
843162,Motipur,Taluk,Muzaffarpur,District,BIHAR,State,
852121,Madhepura,Taluk,Madhepura,District,BIHAR,State,
854204,Purnea,Taluk,Purnia,District,BIHAR,State,
853205,Gopalpur,Taluk,Bhagalpur,District,BIHAR,State,
813214,Colgong,Taluk,Bhagalpur,District,BIHAR,State,
852113,Madhepura,Taluk,Madhepura,District,BIHAR,State,
803111,Silao,Taluk,Nalanda,District,BIHAR,State,
845417,Areraj,Taluk,East Champaran,District,BIHAR,State,
800009,Patna Sadar,Taluk,Patna,District,BIHAR,State,
813104,Bounsi,Taluk,Banka,District,BIHAR,State,
841101,Chapra,Taluk,Saran,District,BIHAR,State,
821104,Rampur,Taluk,Kaimur (Bhabua),District,BIHAR,State,
845103,Bettiah,Taluk,West Champaran,District,BIHAR,State,
805123,Nardiganj,Taluk,Nawada,District,BIHAR,State,
803110,Harnaut,Taluk,Nalanda,District,BIHAR,State,
803212,Bakhtiarpur,Taluk,Patna,District,BIHAR,State,
813210,Sabour,Taluk,Bhagalpur,District,BIHAR,State,
805103,Nawada,Nawada,District,BIHAR,BIHAR,,
811302,Barhiya,Taluk,Lakhisarai,District,BIHAR,State,
851211,Begusarai,Taluk,Begusarai,District,BIHAR,State,
855113,Katihar,Taluk,Katihar,District,BIHAR,State,
800010,Phulwari,Taluk,Patna,District,BIHAR,State,
811214,Jamalpur,Taluk,Munger,District,BIHAR,State,
811101,Asthama,Taluk,Nalanda,District,BIHAR,State,
841232,Siwan,Taluk,Siwan,District,BIHAR,State,
841405,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
801102,Paliganj,Taluk,Patna,District,BIHAR,State,
847301,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
841415,Chapra,Taluk,Saran,District,BIHAR,State,
853204,Naugachia,Taluk,Bhagalpur,District,BIHAR,State,
854304,Purnea,Taluk,Purnia,District,BIHAR,State,
841507,Siwan,Taluk,Siwan,District,BIHAR,State,
801503,Danapur,Taluk,Patna,District,BIHAR,State,
805104,Nawada,Taluk,Nawada,District,BIHAR,State,
813209,Pripainti,Taluk,Bhagalpur,District,BIHAR,State,
848133,Samastipur,Taluk,Samastipur,District,BIHAR,State,
854315,Purnea,Taluk,Purnia,District,BIHAR,State,
848117,Samastipur,Taluk,Samastipur,District,BIHAR,State,
843109,Kanti,Taluk,Muzaffarpur,District,BIHAR,State,
847337,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
800111,Danapur,Taluk,Patna,District,BIHAR,State,
811213,H Kharagpur,Taluk,Munger,District,BIHAR,State,
821104,Chenari,Taluk,Rohtas,District,BIHAR,State,
804424,Tekari,Taluk,Gaya,District,BIHAR,State,
813110,Dhuraiya,Taluk,Banka,District,BIHAR,State,
851211,Begusarai,Taluk,Begusarai,District,BIHAR,State,
844102,Hajipur,Taluk,Vaishali,District,BIHAR,State,
847304,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
824112,Barun,Taluk,Aurangabad(BH),District,BIHAR,State,
851129,Begusarai,Taluk,Begusarai,District,BIHAR,State,
841208,Ekma,Taluk,Saran,District,BIHAR,State,
811214,Jamalpur,Taluk,Munger,District,BIHAR,State,
841416,Lakri Nabiganj,Taluk,Siwan,District,BIHAR,State,
843128,Minapur,Taluk,Muzaffarpur,District,BIHAR,State,
824237,Guruwa,Taluk,Gaya,District,BIHAR,State,
845416,Motihari,Taluk,East Champaran,District,BIHAR,State,
841417,Bhagwanpur Hat,Taluk,Siwan,District,BIHAR,State,
845418,Dhaka,Taluk,East Champaran,District,BIHAR,State,
804422,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
847239,Madhubani,Taluk,Madhubani,District,BIHAR,State,
824217,Bankey Bazar,Taluk,Gaya,District,BIHAR,State,
848132,Samastipur,Taluk,Samastipur,District,BIHAR,State,
855105,Katihar,Taluk,Katihar,District,BIHAR,State,
804419,Banshisurajpura,Taluk,Gaya,District,BIHAR,State,
845453,Bettiah,Taluk,West Champaran,District,BIHAR,State,
841422,Baniapur,Taluk,Saran,District,BIHAR,State,
802203,Piru,Taluk,Bhojpur,District,BIHAR,State,
841219,Chapra,Taluk,Saran,District,BIHAR,State,
801109,Naubatpur,Taluk,Patna,District,BIHAR,State,
802208,Piru,Taluk,Bhojpur,District,BIHAR,State,
847308,Benipatti,Taluk,Madhubani,District,BIHAR,State,
854303,Purnea,Taluk,Purnia,District,BIHAR,State,
848203,Khagaria,Taluk,Khagaria,District,BIHAR,State,
843324,Parihar,Taluk,Sitamarhi,District,BIHAR,State,
811104,Sarmera,Taluk,Nalanda,District,BIHAR,State,
847201,Benipur,Taluk,Darbhanga,District,BIHAR,State,
852202,Kahara,Taluk,Saharsa,District,BIHAR,State,
852201,Kahara,Taluk,Saharsa,District,BIHAR,State,
852202,Kahra,Taluk,Saharsa,District,BIHAR,State,
852201,Kahara,Taluk,Saharsa,District,BIHAR,State,
852201,Kahara,Taluk,Saharsa,District,BIHAR,State,
852201,Kahara,Taluk,Saharsa,District,BIHAR,State,
841439,Siwan,Taluk,Siwan,District,BIHAR,State,
841411,Chapra,Taluk,Saran,District,BIHAR,State,
801506,Phulwari,Taluk,Patna,District,BIHAR,State,
843327,Riga,Taluk,Sitamarhi,District,BIHAR,State,
843102,Sakra,Taluk,Muzaffarpur,District,BIHAR,State,
841312,Revelganj,Taluk,Saran,District,BIHAR,State,
844509,Sahdei Buzurg,Taluk,Vaishali,District,BIHAR,State,
824234,Bodh Gaya,Taluk,Gaya,District,BIHAR,State,
803306,Ghoshwari,Taluk,Patna,District,BIHAR,State,
841508,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
844121,Lalganj,Taluk,Vaishali,District,BIHAR,State,
844502,Bidupur,Taluk,Vaishali,District,BIHAR,State,
854338,Basantpur,Taluk,Supaul,District,BIHAR,State,
851217,Khagaria,Taluk,Begusarai,District,BIHAR,State,
843312,Aurai,Taluk,Muzaffarpur,District,BIHAR,State,
854204,Purnea,Taluk,Purnia,District,BIHAR,State,
805131,Gaya,Gaya,District,BIHAR,BIHAR,,
811308,Jhajha,Taluk,Jamui,District,BIHAR,State,
802131,Simri,Taluk,Buxar,District,BIHAR,State,
843332,M. Ganj,Taluk,Sitamarhi,District,BIHAR,State,
854107,Katihar,Taluk,Katihar,District,BIHAR,State,
813108,Sahkund,Taluk,Bhagalpur,District,BIHAR,State,
852219,Alamnagar,Taluk,Madhepura,District,BIHAR,State,
812005,Jagdishpur,Taluk,Bhagalpur,District,BIHAR,State,
847405,Benipur,Taluk,Darbhanga,District,BIHAR,State,
813108,Bhagalpur,Taluk,Bhagalpur,District,BIHAR,State,
841227,Siwan,Taluk,Siwan,District,BIHAR,State,
847201,Benipur,Taluk,Darbhanga,District,BIHAR,State,
804406,Ghoshi,Taluk,Jehanabad,District,BIHAR,State,
847201,Benipur,Taluk,Darbhanga,District,BIHAR,State,
811310,Surajgarha,Taluk,Lakhisarai,District,BIHAR,State,
801110,Paliganj,Taluk,Patna,District,BIHAR,State,
811301,Islamnagar,Taluk,Jamui,District,BIHAR,State,
813221,Sangrampur,Taluk,Munger,District,BIHAR,State,
844505,Jhandaha,Taluk,Vaishali,District,BIHAR,State,
851129,Begusarai,Taluk,Begusarai,District,BIHAR,State,
844112,Kurhani,Taluk,Muzaffarpur,District,BIHAR,State,
852111,Raghopur,Taluk,Supaul,District,BIHAR,State,
841243,Siwan,Taluk,Siwan,District,BIHAR,State,
848504,Samastipur,Taluk,Samastipur,District,BIHAR,State,
843120,Paroo,Taluk,Muzaffarpur,District,BIHAR,State,
851201,Khagaria,Taluk,Khagaria,District,BIHAR,State,
803214,Barh,Taluk,Patna,District,BIHAR,State,
841406,Siwan,Taluk,Siwan,District,BIHAR,State,
848203,Khagaria,Taluk,Khagaria,District,BIHAR,State,
852129,Sonbersa Raj,Taluk,Saharsa,District,BIHAR,State,
847203,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
841408,Siwan,Taluk,Siwan,District,BIHAR,State,
844123,Bhagwanpur,Taluk,Vaishali,District,BIHAR,State,
821110,Mohania,Taluk,Kaimur (Bhabua),District,BIHAR,State,
824205,Gurua,Taluk,Gaya,District,BIHAR,State,
852113,Madhepura,Madhepura,District,BIHAR,BIHAR,,
824125,Rafiganj,Taluk,Aurangabad(BH),District,BIHAR,State,
841286,Siwan,Taluk,Siwan,District,BIHAR,State,
853204,Naugachia,Taluk,Bhagalpur,District,BIHAR,State,
851112,Begusarai,Taluk,Begusarai,District,BIHAR,State,
852122,Murliganj,Taluk,Madhepura,District,BIHAR,State,
852221,Sour Bazar,Taluk,Saharsa,District,BIHAR,State,
804417,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
801104,Paliganj,Taluk,Patna,District,BIHAR,State,
841207,Chapra,Taluk,Saran,District,BIHAR,State,
841216,Chapra,Taluk,Saran,District,BIHAR,State,
845455,Bettiah,Taluk,West Champaran,District,BIHAR,State,
848125,Samastipur,Taluk,Samastipur,District,BIHAR,State,
851129,Begusarai,Taluk,Begusarai,District,BIHAR,State,
851214,Khagaria,Taluk,Khagaria,District,BIHAR,State,
843114,Patepur,Taluk,Vaishali,District,BIHAR,State,
841439,Siwan,Taluk,Siwan,District,BIHAR,State,
841311,Chapra,Taluk,Saran,District,BIHAR,State,
844111,Belsar,Taluk,Vaishali,District,BIHAR,State,
847402,Jhanjharpur,Taluk,Madhubani,District,BIHAR,State,
813105,Jagdishpur,Taluk,Bhagalpur,District,BIHAR,State,
843109,Kanti,Taluk,Muzaffarpur,District,BIHAR,State,
802117,Rajpur,Taluk,Buxar,District,BIHAR,State,
803211,Athmalgola,Taluk,Patna,District,BIHAR,State,
844508,Raghopur,Taluk,Vaishali,District,BIHAR,State,
821101,Bhabua,Taluk,Kaimur (Bhabua),District,BIHAR,State,
847201,Benipur,Taluk,Darbhanga,District,BIHAR,State,
847201,Benipur,Taluk,Darbhanga,District,BIHAR,State,
812006,Nathnagar,Taluk,Bhagalpur,District,BIHAR,State,
802160,Arrah,Taluk,Bhojpur,District,BIHAR,State,
841412,Chapra,Taluk,Saran,District,BIHAR,State,
845440,Areraj,Taluk,East Champaran,District,BIHAR,State,
848202,Begusarai,Taluk,Begusarai,District,BIHAR,State,
824203,Goh,Taluk,Aurangabad(BH),District,BIHAR,State,
844127,Kurhani,Taluk,Muzaffarpur,District,BIHAR,State,
804401,Arwal,Taluk,Gaya,District,BIHAR,State,
802204,Piro,Taluk,Bhojpur,District,BIHAR,State,
848205,Samastipur,Taluk,Samastipur,District,BIHAR,State,
852113,Madhepura,Taluk,Madhepura,District,BIHAR,State,
848203,Khagaria,Taluk,Khagaria,District,BIHAR,State,
843118,Bochaha,Taluk,Muzaffarpur,District,BIHAR,State,
841438,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
848211,Samastipur,Taluk,Samastipur,District,BIHAR,State,
852218,Pipra Bazar,Taluk,Supaul,District,BIHAR,State,
802206,Arrah,Taluk,Bhojpur,District,BIHAR,State,
848207,Samastipur,Taluk,Samastipur,District,BIHAR,State,
847424,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
802205,Tarari,Taluk,Bhojpur,District,BIHAR,State,
852106,Simri Bakhtiarpur,Taluk,Saharsa,District,BIHAR,State,
804453,Patna Sadar,Taluk,Patna,District,BIHAR,State,
813205,Sonhaula,Taluk,Bhagalpur,District,BIHAR,State,
848202,Begusarai,Taluk,Begusarai,District,BIHAR,State,
803111,Nursarai,Taluk,Nalanda,District,BIHAR,State,
847239,Madhubani,Taluk,Madhubani,District,BIHAR,State,
804428,Arwal,Taluk,Gaya,District,BIHAR,State,
848125,Samastipur,Taluk,Samastipur,District,BIHAR,State,
852161,Khagaria,Taluk,Khagaria,District,BIHAR,State,
803213,Belchi,Taluk,Patna,District,BIHAR,State,
803101,Bihar,Taluk,Nalanda,District,BIHAR,State,
804425,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
845419,Areraj,Taluk,East Champaran,District,BIHAR,State,
824210,Raniganj,Taluk,Gaya,District,BIHAR,State,
824218,Madanpur,Taluk,Aurangabad(BH),District,BIHAR,State,
801305,Nagarnausa,Taluk,Nalanda,District,BIHAR,State,
804429,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
851216,Khagaria,Taluk,Khagaria,District,BIHAR,State,
821109,Kudra,Taluk,Kaimur (Bhabua),District,BIHAR,State,
841501,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
851217,Begusarai,Taluk,Begusarai,District,BIHAR,State,
801304,Karaipersurai,Taluk,Nalanda,District,BIHAR,State,
802351,Arrah,Taluk,Bhojpur,District,BIHAR,State,
813101,Amarpur,Taluk,Bhagalpur,District,BIHAR,State,
824235,Belaganj,Taluk,Gaya,District,BIHAR,State,
841405,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
841411,Chapra,Taluk,Saran,District,BIHAR,State,
843329,Sheohar,Taluk,Sheohar,District,BIHAR,State,
845406,Chakia,Taluk,East Champaran,District,BIHAR,State,
847223,Benipatti,Taluk,Madhubani,District,BIHAR,State,
847234,Madhubani,Taluk,Madhubani,District,BIHAR,State,
844122,Goroul,Taluk,Vaishali,District,BIHAR,State,
813209,Pripainti,Taluk,Bhagalpur,District,BIHAR,State,
801306,Ekangersarai,Taluk,Nalanda,District,BIHAR,State,
854114,Katihar,Taluk,Katihar,District,BIHAR,State,
804404,Gaya,Taluk,Gaya,District,BIHAR,State,
844505,S Buzurg,Taluk,Vaishali,District,BIHAR,State,
848207,Samastipur,Taluk,Samastipur,District,BIHAR,State,
851217,Begusarai,Taluk,Begusarai,District,BIHAR,State,
841418,Chapra,Taluk,Saran,District,BIHAR,State,
803202,Patna,Patna,District,BIHAR,BIHAR,,
852126,Salkhua,Taluk,Saharsa,District,BIHAR,State,
855113,Katihar,Taluk,Katihar,District,BIHAR,State,
802125,Kesath,Taluk,Buxar,District,BIHAR,State,
821113,Sasaram,Taluk,Rohtas,District,BIHAR,State,
848160,Samastipur,Taluk,Samastipur,District,BIHAR,State,
811101,Barbigha,Taluk,Sheikhpura,District,BIHAR,State,
804403,Belaganj,Taluk,Gaya,District,BIHAR,State,
851213,Khagaria,Taluk,Khagaria,District,BIHAR,State,
813108,Sahkund,Taluk,Bhagalpur,District,BIHAR,State,
851217,Begusarai,Taluk,Begusarai,District,BIHAR,State,
848101,Samastipur,Taluk,Samastipur,District,BIHAR,State,
848101,Samastipur,Taluk,Samastipur,District,BIHAR,State,
805130,Nawada,Nawada,District,BIHAR,BIHAR,,
852202,Sour Bazar,Taluk,Saharsa,District,BIHAR,State,
854104,Katihar,Taluk,Katihar,District,BIHAR,State,
854101,Katihar,Taluk,Katihar,District,BIHAR,State,
855101,Kishanganj,Taluk,Kishanganj,District,BIHAR,State,
805104,Roh,Taluk,Nawada,District,BIHAR,State,
848201,Begusarai,Taluk,Begusarai,District,BIHAR,State,
851128,Begusarai,Taluk,Begusarai,District,BIHAR,State,
824143,Daudnagar,Taluk,Aurangabad(BH),District,BIHAR,State,
851111,Begusarai,Taluk,Begusarai,District,BIHAR,State,
813102,Banka,Taluk,Banka,District,BIHAR,State,
813102,Banka,Taluk,Banka,District,BIHAR,State,
803306,Ghoshwari,Taluk,Patna,District,BIHAR,State,
803306,Ghoswari,Taluk,Patna,District,BIHAR,State,
845438,Bettiah,Taluk,West Champaran,District,BIHAR,State,
847307,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
811105,Ariyari,Taluk,Sheikhpura,District,BIHAR,State,
824124,Obra,Taluk,Aurangabad(BH),District,BIHAR,State,
843103,Bochaha,Taluk,Muzaffarpur,District,BIHAR,State,
801303,Islampur,Taluk,Nalanda,District,BIHAR,State,
804452,Masaurhi,Taluk,Patna,District,BIHAR,State,
824235,Konch,Taluk,Gaya,District,BIHAR,State,
851217,Begusarai,Taluk,Begusarai,District,BIHAR,State,
854106,Katihar,Taluk,Katihar,District,BIHAR,State,
802154,Behea,Taluk,Bhojpur,District,BIHAR,State,
802164,Arrah,Taluk,Bhojpur,District,BIHAR,State,
802164,Arrah,Taluk,Bhojpur,District,BIHAR,State,
824129,Goh,Taluk,Aurangabad(BH),District,BIHAR,State,
802162,Behea,Taluk,Bhojpur,District,BIHAR,State,
847402,Jhanjharpur,Taluk,Madhubani,District,BIHAR,State,
813203,Kahalgaon,Taluk,Bhagalpur,District,BIHAR,State,
843119,Kurhani,Taluk,Muzaffarpur,District,BIHAR,State,
811310,Lakhisarai,Taluk,Lakhisarai,District,BIHAR,State,
813212,Sangrampur,Taluk,Bhagalpur,District,BIHAR,State,
845434,Sangrampur,Taluk,East Champaran,District,BIHAR,State,
851219,Begusarai,Taluk,Begusarai,District,BIHAR,State,
851219,Kamal,Taluk,Begusarai,District,BIHAR,State,
841503,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
851205,Khagaria,Taluk,Khagaria,District,BIHAR,State,
813225,Sanhoula,Taluk,Bhagalpur,District,BIHAR,State,
812005,Jagdishpur,Taluk,Bhagalpur,District,BIHAR,State,
841439,Siwan,Taluk,Siwan,District,BIHAR,State,
841245,Siwan,Taluk,Siwan,District,BIHAR,State,
851133,Begusarai,Taluk,Begusarai,District,BIHAR,State,
813105,Jagdishpur,Taluk,Bhagalpur,District,BIHAR,State,
854205,Purnia,Purnia,District,BIHAR,BIHAR,,
802220,Nokha,Taluk,Rohtas,District,BIHAR,State,
851131,Begusarai,Taluk,Begusarai,District,BIHAR,State,
855102,Katihar,Taluk,Katihar,District,BIHAR,State,
847424,Madhubani,Taluk,Madhubani,District,BIHAR,State,
813204,Kahalgoan,Taluk,Bhagalpur,District,BIHAR,State,
848203,Khagaria,Taluk,Khagaria,District,BIHAR,State,
847401,Jhanjharpur,Taluk,Madhubani,District,BIHAR,State,
824143,Daudnagar,Taluk,Aurangabad(BH),District,BIHAR,State,
851214,Khagaria,Taluk,Khagaria,District,BIHAR,State,
854339,Chatapur,Taluk,Supaul,District,BIHAR,State,
847404,Jhanjharpur,Taluk,Madhubani,District,BIHAR,State,
813212,Belhar,Taluk,Banka,District,BIHAR,State,
841502,Siwan,Taluk,Siwan,District,BIHAR,State,
824211,Sherghati,Taluk,Gaya,District,BIHAR,State,
845435,Motihari,Taluk,East Champaran,District,BIHAR,State,
845437,Motihari,Taluk,East Champaran,District,BIHAR,State,
852219,Sanagar,Taluk,Madhepura,District,BIHAR,State,
824233,Khijersarai,Taluk,Gaya,District,BIHAR,State,
847211,Madhubani,Taluk,Madhubani,District,BIHAR,State,
802209,Piru,Taluk,Bhojpur,District,BIHAR,State,
847228,Jaynagar,Taluk,Madhubani,District,BIHAR,State,
801113,Danapur,Taluk,Patna,District,BIHAR,State,
821113,Sasaram,Taluk,Rohtas,District,BIHAR,State,
844509,Sahdei Buzurg,Taluk,Vaishali,District,BIHAR,State,
844125,Bhagwanpur,Taluk,Vaishali,District,BIHAR,State,
841311,Garkha,Taluk,Saran,District,BIHAR,State,
852105,Supaul,Supaul,District,BIHAR,BIHAR,,
855108,Kishanganj,Taluk,Kishanganj,District,BIHAR,State,
848127,Samastipur,Taluk,Samastipur,District,BIHAR,State,
813104,Bounsi,Taluk,Banka,District,BIHAR,State,
841101,Chapra,Taluk,Saran,District,BIHAR,State,
843119,Kurhani,Taluk,Muzaffarpur,District,BIHAR,State,
843127,Motipur,Taluk,Muzaffarpur,District,BIHAR,State,
851201,Khagaria,Taluk,Khagaria,District,BIHAR,State,
843112,Paroo,Taluk,Muzaffarpur,District,BIHAR,State,
843126,Minapur,Taluk,Muzaffarpur,District,BIHAR,State,
842001,Mushahari,Taluk,Muzaffarpur,District,BIHAR,State,
802313,Arrah,Taluk,Bhojpur,District,BIHAR,State,
846007,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
848505,Samastipur,Taluk,Samastipur,District,BIHAR,State,
802218,Dinara,Taluk,Rohtas,District,BIHAR,State,
821310,Akorhi Gola,Taluk,Rohtas,District,BIHAR,State,
841212,Chapra,Taluk,Saran,District,BIHAR,State,
841434,Siwan,Taluk,Siwan,District,BIHAR,State,
801109,Danapur,Taluk,Patna,District,BIHAR,State,
802206,Arrah,Taluk,Bhojpur,District,BIHAR,State,
811303,Chakai,Taluk,Jamui,District,BIHAR,State,
852216,Saharsa,Saharsa,District,BIHAR,BIHAR,,
852101,Udakishanganj,Taluk,Madhepura,District,BIHAR,State,
851127,Begusarai,Taluk,Begusarai,District,BIHAR,State,
841241,Siwan,Taluk,Siwan,District,BIHAR,State,
847402,Jhanjharpur,Taluk,Madhubani,District,BIHAR,State,
841403,Chapra,Taluk,Saran,District,BIHAR,State,
841506,Siwan,Taluk,Siwan,District,BIHAR,State,
811101,Barbigha,Taluk,Sheikhpura,District,BIHAR,State,
803107,Biharsarif,Taluk,Nalanda,District,BIHAR,State,
824235,Tikari,Taluk,Gaya,District,BIHAR,State,
852127,Saharsa,Saharsa,District,BIHAR,BIHAR,,
843324,Parihar,Taluk,Sitamarhi,District,BIHAR,State,
841301,Chapra,Taluk,Saran,District,BIHAR,State,
852127,Saharsa,Saharsa,District,BIHAR,BIHAR,,
803107,Asthawan,Taluk,Nalanda,District,BIHAR,State,
804427,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
823311,Atri,Taluk,Gaya,District,BIHAR,State,
802114,Chausa,Taluk,Buxar,District,BIHAR,State,
845459,Bettiah,Taluk,West Champaran,District,BIHAR,State,
841418,Taraiya,Taluk,Saran,District,BIHAR,State,
845411,Areraj,Taluk,East Champaran,District,BIHAR,State,
845419,Areraj,Taluk,East Champaran,District,BIHAR,State,
841405,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
845438,Bettiah,Taluk,West Champaran,District,BIHAR,State,
841234,Siwan,Taluk,Siwan,District,BIHAR,State,
843118,Bochaha,Taluk,Muzaffarpur,District,BIHAR,State,
845307,Bettiah,Taluk,West Champaran,District,BIHAR,State,
824202,Deo,Taluk,Aurangabad(BH),District,BIHAR,State,
843117,Minapur,Taluk,Muzaffarpur,District,BIHAR,State,
803214,Barh,Taluk,Patna,District,BIHAR,State,
841239,Siwan,Taluk,Siwan,District,BIHAR,State,
841421,Chapra,Taluk,Saran,District,BIHAR,State,
848101,Samastipur,Taluk,Samastipur,District,BIHAR,State,
841416,Siwan,Taluk,Siwan,District,BIHAR,State,
802116,Buxar,Taluk,Buxar,District,BIHAR,State,
847424,Jhanjharpur,Taluk,Madhubani,District,BIHAR,State,
804418,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
845454,Bettiah,Taluk,West Champaran,District,BIHAR,State,
805102,Nawada,Nawada,District,BIHAR,BIHAR,,
813209,Bhagalpur,Bhagalpur,District,BIHAR,BIHAR,,
844126,Mahuwa,Taluk,Vaishali,District,BIHAR,State,
843107,Paroo,Taluk,Muzaffarpur,District,BIHAR,State,
844501,Mahnar,Taluk,Vaishali,District,BIHAR,State,
811104,Sarmera,Taluk,Nalanda,District,BIHAR,State,
841422,Chapra,Taluk,Saran,District,BIHAR,State,
802165,Jagdishpur,Taluk,Bhojpur,District,BIHAR,State,
811214,Jamalpur,Taluk,Munger,District,BIHAR,State,
847452,Nirmali,Taluk,Supaul,District,BIHAR,State,
852106,Simri Bakhtiarpur,Taluk,Saharsa,District,BIHAR,State,
845423,Areraj,Taluk,East Champaran,District,BIHAR,State,
811315,Sikandra,Taluk,Jamui,District,BIHAR,State,
841226,Siwan,Taluk,Siwan,District,BIHAR,State,
824121,Jamhor,Taluk,Aurangabad(BH),District,BIHAR,State,
801110,Paliganj,Taluk,Patna,District,BIHAR,State,
854206,Purnea,Taluk,Purnia,District,BIHAR,State,
805109,Nawada,Nawada,District,BIHAR,BIHAR,,
804429,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
803110,Chandi,Taluk,Nalanda,District,BIHAR,State,
804427,Jehanabad,Taluk,Jehanabad,District,BIHAR,State,
824302,Nabinagar,Taluk,Aurangabad(BH),District,BIHAR,State,
823311,Atri,Taluk,Gaya,District,BIHAR,State,
804402,Kaler,Taluk,Gaya,District,BIHAR,State,
847106,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
804428,Kaler,Taluk,Gaya,District,BIHAR,State,
843128,Minapur,Taluk,Muzaffarpur,District,BIHAR,State,
841227,Siwan,Taluk,Siwan,District,BIHAR,State,
841505,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
848205,Samastipur,Taluk,Samastipur,District,BIHAR,State,
821115,Sasaram,Taluk,Rohtas,District,BIHAR,State,
821115,Sasaram,Taluk,Rohtas,District,BIHAR,State,
821115,Sasaram,Taluk,Rohtas,District,BIHAR,State,
811102,Sermera,Taluk,Nalanda,District,BIHAR,State,
804407,Hulasganj,Taluk,Jehanabad,District,BIHAR,State,
848132,Samastipur,Taluk,Samastipur,District,BIHAR,State,
841226,Siwan,Taluk,Siwan,District,BIHAR,State,
843318,Bokhra,Taluk,Sitamarhi,District,BIHAR,State,
847224,Madhubani,Taluk,Madhubani,District,BIHAR,State,
847337,Darbhanga,Taluk,Darbhanga,District,BIHAR,State,
841438,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
845449,Bettiah,Taluk,West Champaran,District,BIHAR,State,
813205,Kahalgoan,Taluk,Bhagalpur,District,BIHAR,State,
844123,Lalganj,Taluk,Vaishali,District,BIHAR,State,
853203,Parbatta,Taluk,Khagaria,District,BIHAR,State,
848213,Samastipur,Taluk,Darbhanga,District,BIHAR,State,
813105,Goradih,Taluk,Bhagalpur,District,BIHAR,State,
841410,Chapra,Taluk,Saran,District,BIHAR,State,
848101,Samastipur,Taluk,Samastipur,District,BIHAR,State,
841403,Chapra,Taluk,Saran,District,BIHAR,State,
803108,Chandi,Taluk,Nalanda,District,BIHAR,State,
802132,Nuaon,Taluk,Kaimur (Bhabua),District,BIHAR,State,
813108,Sahkund,Taluk,Bhagalpur,District,BIHAR,State,
844114,Bhagwanpur,Taluk,Vaishali,District,BIHAR,State,
824301,Sherghati,Taluk,Aurangabad(BH),District,BIHAR,State,
852124,Saharsa,Saharsa,District,BIHAR,BIHAR,,
824112,Barun,Taluk,Aurangabad(BH),District,BIHAR,State,
803212,Bakhtiarpur,Taluk,Patna,District,BIHAR,State,
821106,Mohania,Taluk,Kaimur (Bhabua),District,BIHAR,State,
843316,Belsand,Taluk,Sitamarhi,District,BIHAR,State,
843333,Nanpur,Taluk,Sitamarhi,District,BIHAR,State,
847213,Madhubani,Taluk,Madhubani,District,BIHAR,State,
841412,Chapra,Taluk,Saran,District,BIHAR,State,
854107,Katihar,Taluk,Katihar,District,BIHAR,State,
811315,Sikandra,Taluk,Jamui,District,BIHAR,State,
841438,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
845412,Chakia,Taluk,East Champaran,District,BIHAR,State,
841438,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
802207,Piro,Taluk,Bhojpur,District,BIHAR,State,
844112,Kurhani,Taluk,Vaishali,District,BIHAR,State,
804428,Arwal,Taluk,Gaya,District,BIHAR,State,
844509,Sahdei Buzurg,Taluk,Vaishali,District,BIHAR,State,
841406,Siwan,Taluk,Siwan,District,BIHAR,State,
847226,Jaynagar,Taluk,Madhubani,District,BIHAR,State,
847228,Jaynagar,Taluk,Madhubani,District,BIHAR,State,
854115,Katihar,Taluk,Katihar,District,BIHAR,State,
845106,Bettiah,Taluk,West Champaran,District,BIHAR,State,
841243,Siwan,Taluk,Siwan,District,BIHAR,State,
841441,Gopalganj,Taluk,Gopalganj,District,BIHAR,State,
