CityName,PinCode,Name of Location ,Region,COD,zone_id,Provider
Sonipat,131001,Sonipat,North,1,1486,ARAMEX
Sonipat,131021,Sonepat,NORTH,1,1486,ARAMEX
Sonipat,131027,Sonipat,North,1,1486,ARAMEX
Sonipat,131028,Kundli,NORTH,1,1486,ARAMEX
Sonipat,131029,Sonipat,North,1,1486,ARAMEX
Karnal,132001,Karnal,North,1,1486,ARAMEX
Haryana,132027,Haryana,North,1,1486,ARAMEX
Karnal,132041,Karnal,North,1,1486,ARAMEX
Panipat,132101,Panipat,North,1,1486,ARAMEX
Panipat,132103,Panipat,North,1,1486,ARAMEX
Panipat,132104,Panipat,North,1,1486,ARAMEX
Panipat,132105,Panipat,North,1,1486,ARAMEX
Panipat,132106,Panipat,North,1,1486,ARAMEX
Karnal,132116,Karnal,North,1,1486,ARAMEX
Kurukshetra,132118,Kurukshetra,North,1,1486,ARAMEX
Haryana,132119,Haryana,North,1,1486,ARAMEX
Haryana,132131,Haryana,North,1,1486,ARAMEX
Haryana,132135,Haryana,North,1,1486,ARAMEX
Panipat,132140,Panipat,North,1,1486,ARAMEX
Panipat,132151,Panipat,NORTH,1,1486,ARAMEX
Ambala,133001,Ambala,North,1,1486,ARAMEX
Ambala,133004,Ambala,NORTH,1,1486,ARAMEX
Ambala,133005,Ambala,NORTH,1,1486,ARAMEX
Ambala,133006,Ambala,North,1,1486,ARAMEX
Panchkula,133302,Panchkula,North,1,1487,ARAMEX
Haryana,134002,Ambala,North,1,1486,ARAMEX
Ambala,134003,Ambala,North,1,1486,ARAMEX
Ambala,134007,Ambala,North,1,1486,ARAMEX
Panchkula,134101,Panchkula,North,1,1486,ARAMEX
Panchkula,134102,Panchkula,North,1,1486,ARAMEX
Panchkula,134107,Panchkula,North,1,1480,ARAMEX
Panchkula,134108,Panchkula,North,1,1480,ARAMEX
Panchkula,134109,Panchkula,North,1,1480,ARAMEX
Haryana,134110,Haryana,North,1,1486,ARAMEX
Panchkula,134112,Panchkula,North,1,1480,ARAMEX
Panchkula,134113,Panchkula,North,1,1480,ARAMEX
Panchkula,134114,Panchkula,North,1,1480,ARAMEX
Panchkula,134115,Panchkula,North,1,1480,ARAMEX
Panchkula,134116,Panchkula,North,1,1480,ARAMEX
Yamuna Nagar,135001,Yamunanagr,North,1,1500,ARAMEX
Haryana,135002,Yamunanagr,North,1,1486,ARAMEX
Yamuna Nagar,135003,Yamunanagr,North,1,1486,ARAMEX
Kaithal,136026,Kaithal,North,1,1486,ARAMEX
Kaithal,136027,Kaithal,North,1,1486,ARAMEX
Kaithal,136034,Kaithal,North,1,1486,ARAMEX
Kurukshetra,136128,Kaithal,North,1,1486,ARAMEX
Kurukshetra,136132,Ambala,North,1,1486,ARAMEX
Kurukshetra,136135,Ambala,North,1,1486,ARAMEX
Ropar,140001,Ropar,North,1,1500,ARAMEX
Ropar,140124,Nangal,NORTH,1,1500,ARAMEX
Ropar,140126,Nangal,NORTH,1,1500,ARAMEX
Patiala,140401,Ambala,North,1,1486,ARAMEX
Patiala,140406,Patiala,North,1,1500,ARAMEX
Fatehgarh Sahib,140407,Fatehgarh Sahib,North,1,1500,ARAMEX
Patiala,140501,Ambala,North,1,1486,ARAMEX
Haryana,140506,Ambala,North,1,1486,ARAMEX
Patiala,140507,Ambala,North,1,1486,ARAMEX
Patiala,140603,Patiala,NORTH,1,1500,ARAMEX
Ludhiana,141001,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141002,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141003,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141004,Ludhiana,North,1,1500,ARAMEX
Punjab,141005,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141006,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141007,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141008,Ludhiana,North,1,1500,ARAMEX
Punjab,141009,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141010,Ludhiana,North,1,1500,ARAMEX
Punjab,141011,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141012,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141013,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141014,Ludhiana,North,1,1500,ARAMEX
Ludhiana,141015,Ludhiana,NORTH,1,1500,ARAMEX
Ludhiana,141016,Ludhiana,NORTH,1,1500,ARAMEX
Ludhiana,141017,Ludhiana,NORTH,1,1500,ARAMEX
Phagwara,141304,Phagwara,NORTH,1,1500,ARAMEX
Jalandhar,141309,Jalandhar,NORTH,1,1500,ARAMEX
Nakodar,141310,Nakodar,NORTH,1,1500,ARAMEX
Moga,142001,Moga,North,1,1500,ARAMEX
Ludhiana,142026,Ludhiana,North,1,1500,ARAMEX
Firozpur,142047,Firozpur,North,1,1500,ARAMEX
Amritsar,143001,Amritsar,North,1,1500,ARAMEX
Amritsar,143002,Amritsar,North,1,1500,ARAMEX
Amritsar,143003,Amritsar,North,1,1500,ARAMEX
Amritsar,143004,Amritsar,North,1,1500,ARAMEX
Amritsar,143005,Amritsar,North,1,1500,ARAMEX
Amritsar,143006,Amritsar,North,1,1500,ARAMEX
Punjab,143021,Amritsar,North,1,1500,ARAMEX
Amritsar,143104,Amritsar,North,1,1500,ARAMEX
Amritsar,143106,Amritsar,North,1,1500,ARAMEX
Amritsar,143401,Amritsar,North,1,1500,ARAMEX
Gurdaspur,143505,Batala,NORTH,1,1500,ARAMEX
Gurdaspur,143521,Pathankot,North,1,1500,ARAMEX
Punjab,143523,Punjab,North,1,1500,ARAMEX
Punjab,143524,Punjab,North,1,1500,ARAMEX
Gurdaspur,143526,Gurdaspur,North,1,1500,ARAMEX
